## Filter transmission curves for all possible HRC filters
## EE is encircled energy (%) at a given radius in pixels
## arcsec. EEERR is the std dev. 
## From M Sirianni
##
## K Anderson, 3-10-2003
##
# 1	radius_pix
# 2	radius_asec
# 3	EE_F220W
# 4	EEERR_F220W
# 5	EE_F250W
# 6	EEERR_F250W
# 7	EE_F330W
# 8	EEERR_F330W
# 9	EE_F334N
# 10	EEERR_F334N
# 11	EE_F435W
# 12	EEERR_F435W
# 13	EE_F475W
# 14	EEERR_F475W
# 15	EE_F502N
# 16	EEERR_F502N
# 17	EE_F550M
# 18	EEERR_F550M
# 19	EE_F555W
# 20	EEERR_F555W
# 21	EE_F606W
# 22	EEERR_F606W
# 23	EE_F625W
# 24	EEERR_F625W
# 25	EE_F658N
# 26	EEERR_F658N
# 27	EE_F660N
# 28	EEERR_F660N
# 29	EE_F775W
# 30	EEERR_F775W
# 31	EE_F814W
# 32	EEERR_F814W
# 33	EE_F850LP
# 34	EEERR_F850LP
# 35	EE_F892N
# 36	EEERR_F892N
##                     F220W            F250W          F330W           F334N           F435W           F475W           F502N           F550M           F555W           F606W           F625W            F658N           F660N            F775W           F814W          F850LP          F892N  
##   pix     asec    ee      std     ee       std   avge    stdev  avge     stdev   avge    stdev   avge    stdev   average stdev   avge    stdev   avge    stdev   avge    stdev   avge     stdev  avge    stdev   avge    stdev   avge    stdev   avge    stdev   avge    stdev   avge    stdev
  58.000   1.450  97.327   0.183  97.730   0.177  97.143   0.247  97.289   0.300  96.760   0.133  96.561   0.286  96.482   0.075  96.457   0.048  96.885   0.045  96.659   0.150  96.347   0.119  95.970   0.160  94.868   0.123  94.775   0.133  92.831   0.085  87.332   0.070  87.492   0.525
  59.000   1.475  97.391   0.187  97.800   0.175  97.233   0.248  97.389   0.301  96.864   0.133  96.659   0.285  96.553   0.076  96.528   0.046  96.875   0.093  96.733   0.149  96.414   0.119  96.039   0.160  94.954   0.119  94.864   0.131  92.948   0.086  87.548   0.069  87.687   0.522
  60.000   1.500  97.463   0.188  97.865   0.179  97.321   0.250  97.485   0.297  96.975   0.139  96.753   0.285  96.637   0.076  96.602   0.046  96.947   0.092  96.810   0.145  96.483   0.115  96.099   0.164  95.034   0.113  94.955   0.132  93.062   0.086  87.761   0.063  87.887   0.519
  61.000   1.525  97.519   0.186  97.927   0.182  97.405   0.250  97.579   0.302  97.084   0.140  96.843   0.283  96.715   0.078  96.671   0.045  97.017   0.090  96.883   0.144  96.550   0.114  96.142   0.164  95.091   0.111  95.045   0.131  93.179   0.085  87.973   0.061  88.089   0.518
  62.000   1.550  97.566   0.184  97.989   0.183  97.486   0.251  97.659   0.314  97.190   0.135  96.934   0.282  96.780   0.077  96.737   0.043  97.088   0.090  96.953   0.143  96.615   0.110  96.188   0.158  95.142   0.113  95.136   0.128  93.300   0.085  88.177   0.058  88.280   0.515
  63.000   1.575  97.621   0.183  98.047   0.184  97.564   0.258  97.740   0.319  97.289   0.133  97.022   0.286  96.847   0.076  96.801   0.045  97.162   0.092  97.023   0.141  96.678   0.110  96.259   0.152  95.212   0.116  95.225   0.128  93.415   0.085  88.376   0.059  88.457   0.514
  64.000   1.600  97.672   0.185  98.101   0.185  97.830   0.163  97.808   0.319  97.385   0.134  97.112   0.286  96.934   0.073  96.861   0.045  97.237   0.093  97.096   0.137  96.739   0.108  96.337   0.153  95.288   0.117  95.313   0.129  93.530   0.085  88.577   0.059  88.628   0.507
  65.000   1.625  97.720   0.184  98.161   0.185  97.695   0.260  97.864   0.327  97.478   0.136  97.206   0.282  97.038   0.068  96.919   0.046  97.303   0.091  97.165   0.134  96.800   0.109  96.416   0.153  95.364   0.119  95.400   0.128  93.646   0.083  88.780   0.051  88.804   0.497
  66.000   1.650  97.767   0.186  98.213   0.185  97.954   0.163  97.929   0.332  97.570   0.139  97.289   0.280  97.143   0.069  96.970   0.047  97.373   0.094  97.239   0.135  96.855   0.111  96.498   0.152  95.445   0.123  95.480   0.126  93.760   0.081  88.983   0.048  88.971   0.497
  67.000   1.675  97.819   0.188  98.261   0.185  98.012   0.162  98.013   0.330  97.653   0.141  97.372   0.273  97.252   0.069  97.026   0.045  97.451   0.097  97.313   0.133  96.913   0.109  96.566   0.153  95.509   0.124  95.563   0.128  93.873   0.081  89.183   0.046  89.144   0.501
